Buyer,Seller,Transaction_Amount,Date,Time,Security,Price
Jaya,Divya,92194.05,20-12-2025,05:12:16,HDFC,472.79
Frank,Sneha,227289.66,19-10-2025,12:00:35,NVDA,2228.33
Lakshmi,David,641014.64,04-07-2025,22:19:32,HDFC,2474.96
Alice,David,151787.05,21-08-2025,05:45:57,NVDA,1785.73
David,Grace,150381.9,28-11-2025,11:02:24,HDFC,1670.91
Sneha,Arjun,138601.7,25-06-2025,19:35:35,INFY,1669.9
Frank,Lakshmi,866371.5,15-11-2025,20:35:54,GOOGL,2533.25
Eve,Ivy,1408236.72,24-07-2025,05:58:40,META,2909.58
Hannah,Alice,1224710.6,19-07-2025,15:37:45,GOOGL,2484.2
Jaya,Varun,54685.26,19-07-2025,14:39:22,TSLA,139.86
Kiran,Varun,487692,24-11-2025,01:25:44,ADANIENT,1413.6
Charlie,Hannah,199675.2,03-07-2025,07:23:37,RELIANCE,2349.12
Rohit,Hannah,348175.32,15-06-2025,07:58:18,NVDA,825.06
Charlie,Sneha,225684.34,09-09-2025,23:03:26,HDFC,757.33
Sneha,Varun,60094.98,22-11-2025,21:37:20,HDFC,607.02
Varun,Harish,481453.07,08-12-2025,19:25:22,SBIN,2371.69
David,Varun,871348.44,10-10-2025,11:41:33,GOOGL,2984.07
Arjun,Sneha,201129.39,16-06-2025,20:37:19,TCS,2612.07
Alice,Kiran,1407397.8,27-10-2025,17:17:23,GOOGL,2938.2
Grace,Kiran,1446833.64,07-07-2025,23:54:11,RELIANCE,2958.76
Varun,Rohit,830934.1,04-07-2025,09:12:46,TSLA,2865.29
Manoj,Farhan,253674.24,10-10-2025,21:59:23,AAPL,2045.76
Lakshmi,Arjun,126155.92,15-10-2025,20:52:41,ADANIENT,498.64
Bhavna,Ivy,643850.64,23-08-2025,09:10:13,META,1860.84
Ivy,Charlie,464090,25-11-2025,12:20:49,AMZN,2109.5
Eve,Jack,590708.16,13-09-2025,12:35:02,AMZN,1562.72
Manoj,Eve,112786.52,01-06-2025,05:09:55,META,932.12
Divya,Lakshmi,1181367.82,29-08-2025,00:40:00,AMZN,2562.62
Chetan,Grace,293910.27,17-07-2025,08:20:50,GOOGL,2084.47
Jack,Gauri,629615.82,11-08-2025,08:16:21,AAPL,2077.94
Jaya,Sneha,563252.5,07-06-2025,12:56:23,AAPL,1942.25
Bob,David,381699.94,22-10-2025,12:49:27,RELIANCE,2913.74
Arjun,Kiran,361643.92,04-12-2025,21:50:45,ICICIBANK,888.56
Harish,Ivy,203543.9,28-08-2025,17:09:08,TCS,650.3
Neha,Jack,86621.83,01-07-2025,07:13:02,TCS,1420.03
Bhavna,Kiran,57106.24,02-09-2025,11:57:52,HDFC,155.18
Frank,Manoj,701780.1,05-11-2025,23:19:22,ADANIENT,2678.55
Bhavna,Kiran,657821.12,25-09-2025,17:31:14,AAPL,1758.88
David,Neha,674090.44,13-11-2025,00:07:08,NVDA,2622.92
Jack,Neha,428197.21,17-08-2025,14:21:52,NFLX,2659.61
Eve,Sneha,188552.27,19-09-2025,11:58:07,RELIANCE,652.43
Sneha,Eve,277923,15-10-2025,04:27:24,INFY,2779.23
Harish,Jack,50091.8,19-08-2025,20:59:58,HDFC,1138.45
Harish,Frank,291732.58,28-09-2025,09:49:50,AAPL,2472.31
Bhavna,Chetan,188201.88,01-08-2025,16:04:44,TSLA,2163.24
Bob,Manoj,521700.06,01-06-2025,01:30:34,TSLA,1425.41
Grace,Hannah,206516.51,04-09-2025,15:04:15,TSLA,714.59
Alice,Jaya,654702.75,04-11-2025,08:58:49,AAPL,2694.25
Kiran,Jaya,125281.79,31-12-2025,05:36:58,AMZN,2913.53
Jaya,Divya,485276.22,04-08-2025,22:50:16,GOOGL,1696.77
Sneha,Frank,152201.1,14-07-2025,17:16:43,AMZN,2495.1
Kiran,Lakshmi,24459.87,03-07-2025,11:22:42,ADANIENT,274.83
David,Grace,301754.6,16-08-2025,14:08:45,TCS,2251.9
David,Sneha,222797.7,22-06-2025,07:30:26,ICICIBANK,2475.53
Alice,Charlie,1059428.4,25-07-2025,11:55:39,TSLA,2863.32
Eve,Sneha,152880,08-08-2025,17:48:19,INFY,367.5
Harish,Sneha,23614.5,03-09-2025,21:31:38,META,674.7
Gauri,Manoj,555412.05,13-09-2025,19:00:33,AMZN,2683.15
Harish,Neha,315382.91,18-06-2025,05:29:01,META,2483.33
Bob,Neha,509002.35,29-11-2025,00:53:21,TSLA,1519.41
Gauri,Varun,105562.24,03-06-2025,01:18:21,ADANIENT,471.26
Grace,Lakshmi,516218.01,13-08-2025,18:53:10,INFY,1091.37
Neha,Bob,61962.8,24-11-2025,07:11:12,TSLA,163.06
Divya,Bhavna,59933.16,07-11-2025,08:54:57,AAPL,1426.98
Grace,Hannah,206158.95,03-09-2025,17:11:25,ADANIENT,425.07
Bhavna,Harish,92521.44,02-06-2025,07:21:19,AAPL,191.16
Hannah,Ivy,33630.66,12-08-2025,22:27:23,NFLX,273.42
David,Sneha,26075.75,15-07-2025,13:12:09,HDFC,1043.03
Arjun,Harish,262083,31-08-2025,19:23:50,NVDA,873.61
Gauri,Chetan,259156.5,08-11-2025,00:49:25,TSLA,1727.71
Kiran,Jack,1050936.6,23-09-2025,05:18:01,SBIN,2502.23
Arjun,Harish,384280.04,02-12-2025,16:53:14,INFY,1357.88
Eve,Divya,1261072.75,22-12-2025,04:22:12,SBIN,2885.75
Chetan,Eve,65239.2,29-09-2025,06:26:15,META,198.9
Gauri,Varun,314451.04,24-07-2025,22:20:49,ADANIENT,1629.28
Bob,Grace,162822,14-11-2025,18:00:24,AAPL,616.75
Bob,Farhan,252942.42,28-12-2025,13:54:38,HDFC,1887.63
Eve,Manoj,1269089.8,31-08-2025,19:06:46,HDFC,2616.68
Manoj,Varun,384632.43,23-08-2025,22:41:40,GOOGL,1408.91
Eve,Manoj,223211.36,30-06-2025,05:26:05,AMZN,820.63
Manoj,Charlie,584111.21,30-12-2025,08:35:27,INFY,1866.17
Alice,Jack,479016.89,20-09-2025,16:37:01,ADANIENT,1767.59
Harish,Sneha,27289.8,15-07-2025,18:57:51,SBIN,1364.49
Sneha,Bhavna,886879.2,10-12-2025,00:34:49,HDFC,1802.6
Manoj,David,22545.38,15-07-2025,13:08:39,NVDA,157.66
Charlie,Lakshmi,91673.1,23-07-2025,08:40:08,TSLA,536.1
Arjun,Divya,77404.48,06-07-2025,20:39:03,HDFC,1334.56
Lakshmi,Chetan,520869.58,30-06-2025,12:17:52,RELIANCE,2565.86
Farhan,Sneha,147504.72,30-06-2025,22:53:40,NVDA,1250.04
Harish,Jack,198403.1,22-09-2025,07:21:52,RELIANCE,914.3
Varun,Rohit,504239.9,31-08-2025,03:49:27,SBIN,2231.15
Bhavna,Arjun,129001.05,03-09-2025,10:42:43,AMZN,1449.45
Hannah,Alice,650519.84,28-10-2025,09:38:56,ADANIENT,2756.44
Manoj,Lakshmi,1981.5,22-12-2025,22:07:11,ADANIENT,198.15
Ivy,Chetan,54342.52,11-06-2025,08:29:29,AAPL,936.94
David,Alice,1162546.8,18-10-2025,14:39:06,NFLX,2835.48
Bhavna,Divya,910335.7,10-09-2025,19:19:57,INFY,2193.58
Jack,Kiran,501240.4,25-11-2025,20:24:53,HDFC,1061.95
Manoj,Eve,28401.78,14-09-2025,18:17:04,META,112.26
Kiran,Eve,828183.4,19-12-2025,11:55:32,HDFC,1981.3
Neha,Arjun,415967.5,12-09-2025,11:37:28,HDFC,1279.9
Bob,Divya,717922.92,04-07-2025,21:37:25,NFLX,2601.17
Gauri,Rohit,58136.96,24-07-2025,00:20:30,AMZN,259.54
Hannah,Lakshmi,135658.38,22-08-2025,01:22:10,GOOGL,948.66
David,Jack,44641.05,30-09-2025,11:32:45,RELIANCE,2976.07
Bob,Chetan,166421.43,21-11-2025,15:00:43,INFY,2641.61
Lakshmi,Sneha,540215.35,27-09-2025,23:03:09,ICICIBANK,2714.65
Bob,Jack,544907.5,22-12-2025,05:36:07,NFLX,1291.25
Bob,Grace,523719.7,21-07-2025,02:54:35,AMZN,1289.95
Rohit,Gauri,264927.6,15-09-2025,18:50:57,HDFC,2523.12
Ivy,Jack,463309.58,22-08-2025,05:28:17,GOOGL,1097.89
Harish,Ivy,12870.7,26-10-2025,13:44:25,AAPL,192.1
Hannah,Bhavna,546686.01,03-09-2025,01:20:51,TCS,1557.51
Kiran,Charlie,165694.23,04-11-2025,01:17:31,RELIANCE,1416.19
Rohit,Ivy,263974.34,04-07-2025,13:42:05,TSLA,1926.82
Manoj,Jack,19671.05,18-08-2025,12:22:15,RELIANCE,562.03
Jack,Alice,80756.8,18-11-2025,16:39:32,INFY,504.73
Bob,Rohit,490244.3,08-10-2025,12:34:08,NFLX,2059.85
Chetan,Lakshmi,441831.86,25-08-2025,15:06:54,HDFC,2441.06
Jack,Frank,13545.56,23-07-2025,00:45:10,INFY,1935.08
Bob,Divya,319039.5,05-08-2025,18:30:56,NFLX,2454.15
Bob,Neha,304035.48,28-06-2025,18:32:18,ICICIBANK,671.16
Frank,Farhan,1006104.75,28-09-2025,00:16:31,GOOGL,2933.25
Alice,Jaya,217625.61,12-11-2025,12:45:27,AMZN,704.29
Arjun,Farhan,520325.34,05-09-2025,06:35:14,MSFT,1044.83
Grace,Jack,166573.44,07-11-2025,15:38:40,GOOGL,578.38
Alice,Manoj,136214,29-10-2025,01:24:32,MSFT,2724.28
Sneha,Grace,840588.5,31-12-2025,17:27:36,ADANIENT,1769.66
Kiran,Bhavna,701323.2,25-09-2025,14:44:04,GOOGL,1627.2
Chetan,Grace,419638.83,27-12-2025,00:04:48,SBIN,2483.07
Jack,Bhavna,621287.76,08-09-2025,18:47:13,NVDA,2010.64
Harish,Lakshmi,402946.16,28-09-2025,01:10:44,SBIN,1217.36
Varun,Lakshmi,1224175.83,17-08-2025,06:12:14,RELIANCE,2978.53
Kiran,Hannah,330368.08,05-09-2025,14:04:15,TCS,779.17
Ivy,Bob,878424.6,25-12-2025,08:44:57,ADANIENT,2453.7
Rohit,Arjun,43117.14,15-12-2025,19:50:31,ICICIBANK,178.17
Harish,Ivy,674902.66,28-07-2025,17:00:44,TCS,2198.38
Bhavna,Eve,346366.47,18-12-2025,11:58:48,TCS,1391.03
Varun,Jaya,526709.81,26-09-2025,06:30:04,SBIN,2816.63
Divya,Arjun,240389.1,30-09-2025,19:37:49,AMZN,2670.99
Arjun,Jack,614330.13,28-07-2025,04:56:08,META,2636.61
Bob,Farhan,221644.08,15-09-2025,04:43:23,ADANIENT,690.48
Bob,Farhan,1160976.6,13-10-2025,13:47:13,GOOGL,2632.6
David,Neha,469159.2,07-10-2025,18:39:19,AMZN,1303.22
Divya,Alice,14557.9,29-12-2025,22:43:51,NFLX,148.55
Manoj,Sneha,145170.96,04-11-2025,22:46:33,RELIANCE,299.94
Ivy,Bhavna,117092.9,18-12-2025,19:19:56,NVDA,2209.3
Chetan,Rohit,949469.04,03-10-2025,17:26:49,MSFT,2930.46
Sneha,Bhavna,404804.46,13-07-2025,06:53:41,AAPL,2545.94
Rohit,Manoj,21569.04,30-09-2025,21:21:37,ICICIBANK,1797.42
Bob,Rohit,61955.14,23-10-2025,03:10:44,ADANIENT,472.94
Jack,Varun,235715.9,05-07-2025,08:24:51,RELIANCE,1240.61
Varun,Bob,157526.4,10-07-2025,17:38:09,AMZN,2582.4
Grace,Farhan,541930.17,30-12-2025,08:07:14,GOOGL,2696.17
Alice,Hannah,31364,01-09-2025,06:40:18,ADANIENT,627.28
Farhan,Lakshmi,1033008.76,24-10-2025,05:17:27,SBIN,2901.71
Gauri,Grace,400989.3,10-07-2025,05:16:31,NFLX,1297.7
Harish,Rohit,477318,09-09-2025,10:12:23,AAPL,2251.5
Farhan,Divya,356141.18,29-11-2025,00:10:21,AMZN,2919.19
Hannah,Gauri,1083317.76,08-11-2025,17:14:26,RELIANCE,2865.92
Grace,David,114331.53,22-12-2025,20:25:18,INFY,390.21
Frank,Varun,77686.7,10-11-2025,06:09:40,SBIN,2219.62
Frank,Bob,185687.88,07-09-2025,17:08:02,AAPL,2210.57
Divya,Kiran,782680.2,18-08-2025,18:48:54,TSLA,2162.1
Bob,Kiran,740873.7,16-10-2025,18:07:18,GOOGL,2300.85
Divya,Charlie,639216.9,26-12-2025,23:27:00,NFLX,2029.26
Neha,Alice,38144.1,05-12-2025,10:03:58,GOOGL,2542.94
Alice,Hannah,425118.75,26-10-2025,21:15:36,TCS,1133.65
Divya,Lakshmi,77212.59,13-10-2025,10:11:26,AMZN,848.49
Gauri,David,149773.79,14-06-2025,08:44:47,META,2109.49
Jaya,Varun,97750.08,09-12-2025,11:20:55,NVDA,2715.28
Grace,Ivy,64612.9,01-09-2025,04:27:04,RELIANCE,587.39
Grace,Hannah,519805.91,24-10-2025,17:18:51,META,1836.77
Gauri,Divya,98196.66,09-09-2025,04:27:48,TCS,474.38
Chetan,Divya,301789.96,26-09-2025,18:39:43,ICICIBANK,1174.28
Jack,Farhan,117987.17,26-08-2025,08:27:23,ICICIBANK,706.51
Frank,Hannah,769294.88,15-08-2025,10:42:57,INFY,2661.92
Chetan,Harish,93304.8,01-12-2025,00:01:44,ADANIENT,388.77
Bob,Kiran,404146.2,02-08-2025,20:18:25,MSFT,1138.44
Manoj,Gauri,1004447.51,11-11-2025,11:23:02,AAPL,2467.93
Bhavna,Arjun,319185.9,14-12-2025,06:29:01,HDFC,2637.9
Eve,Divya,268205.8,29-07-2025,04:58:54,META,1122.2
Charlie,Manoj,1161627.17,14-09-2025,17:11:57,META,2575.67
Bob,Alice,183681.41,16-06-2025,15:15:53,MSFT,409.09
Manoj,Neha,88096.8,02-07-2025,07:20:19,INFY,620.4
Rohit,Sneha,1018170.68,21-06-2025,05:07:29,AMZN,2860.03
Bob,Alice,533558.2,26-10-2025,11:56:19,GOOGL,2750.3
Neha,Farhan,28161.25,18-07-2025,17:19:21,AAPL,1126.45
Jaya,Bhavna,681114.01,20-10-2025,01:44:45,GOOGL,1381.57
Frank,Farhan,963796.86,20-09-2025,09:31:22,INFY,2722.59
Gauri,Farhan,791761.38,24-09-2025,07:54:37,ADANIENT,2014.66
Divya,Jack,192668.19,23-08-2025,01:14:09,MSFT,662.09
Chetan,David,755998.5,17-08-2025,03:43:32,META,1778.82
Bob,Alice,372625.92,14-08-2025,10:31:26,RELIANCE,1725.12
Grace,David,65097.75,30-09-2025,11:48:24,SBIN,891.75
Farhan,Frank,1161539.12,10-10-2025,14:59:47,INFY,2963.11
Sneha,Jack,801361.47,23-06-2025,12:42:39,MSFT,2244.71
Charlie,Jaya,310387.41,29-12-2025,23:01:36,META,1004.49
Hannah,Harish,41314,18-07-2025,09:30:41,TSLA,158.9
Farhan,David,1303428.48,27-10-2025,09:48:51,TSLA,2670.96
Kiran,Varun,397284.14,23-12-2025,09:16:10,NVDA,1641.67
Kiran,Chetan,585244.8,10-11-2025,21:18:05,AMZN,1741.8
Alice,Bob,258091.82,17-11-2025,01:59:59,META,2633.59
Chetan,Hannah,816787.58,09-08-2025,19:31:55,META,2713.58
Neha,Ivy,1319954.72,21-10-2025,12:33:04,AMZN,2844.73
Grace,Kiran,168145.92,22-09-2025,19:18:38,INFY,1751.52
Varun,Neha,77190.16,04-08-2025,16:55:32,HDFC,507.83
Bhavna,Arjun,659765.25,08-06-2025,19:15:30,RELIANCE,2932.29
David,Ivy,861442.56,22-09-2025,10:34:50,NVDA,2787.84
Rohit,Charlie,339924.52,25-11-2025,20:51:28,TCS,1538.12
Sneha,Bob,85734.28,26-10-2025,06:59:42,AMZN,522.77
Frank,Farhan,544417.44,11-10-2025,04:32:46,TCS,2297.12
Gauri,Jack,137609.85,17-08-2025,23:05:06,AAPL,331.59
Frank,Farhan,1182392.61,29-10-2025,06:38:26,META,2963.39
Chetan,Divya,452753.32,10-09-2025,17:45:58,INFY,1166.89
Jaya,Bob,463223.04,18-11-2025,03:25:44,NVDA,1378.64
Divya,Jack,473158.8,08-06-2025,16:35:48,AAPL,2451.6
Hannah,Frank,499509.82,08-06-2025,11:28:32,SBIN,1443.67
Charlie,Ivy,408937.95,03-08-2025,22:13:22,INFY,2744.55
Manoj,Lakshmi,167223.15,08-07-2025,00:19:45,HDFC,574.65
David,Eve,534724.89,17-10-2025,01:48:25,ICICIBANK,2464.17
Bhavna,Grace,706785.06,03-07-2025,09:06:56,NFLX,2506.33
Kiran,Harish,715661.9,16-09-2025,09:06:55,META,2401.55
Charlie,Lakshmi,177985.69,02-11-2025,16:17:18,AAPL,744.71
Gauri,Chetan,246789.4,13-12-2025,02:46:39,ICICIBANK,949.19
Bob,Lakshmi,484360.92,24-12-2025,19:18:46,ADANIENT,1341.72
Sneha,David,158246.19,10-12-2025,06:09:50,ADANIENT,386.91
Charlie,David,424599.84,07-11-2025,05:40:39,INFY,2948.61
Divya,Chetan,824799.24,13-07-2025,22:12:20,NVDA,2924.82
Farhan,Manoj,870526.92,03-11-2025,06:57:03,SBIN,2062.86
Varun,Grace,223137.2,18-11-2025,18:17:18,HDFC,780.2
Charlie,Sneha,209051.55,14-10-2025,10:46:01,SBIN,455.45
Sneha,Rohit,209212.96,04-10-2025,06:25:06,ADANIENT,901.78
Farhan,Neha,227004.75,07-10-2025,04:58:38,NVDA,1008.91
Arjun,Neha,452894.82,08-06-2025,10:10:57,NFLX,1376.58
Charlie,Lakshmi,357385.42,10-06-2025,23:04:09,ICICIBANK,1041.94
Ivy,Bhavna,956127,30-07-2025,13:28:22,TCS,2148.6
Eve,Manoj,5286.66,20-12-2025,00:28:40,ICICIBANK,1762.22
Grace,David,547531.11,29-12-2025,16:30:52,INFY,2896.99
Sneha,Eve,421.93,07-07-2025,22:27:30,ADANIENT,421.93
David,Grace,49329.35,13-06-2025,06:23:48,ICICIBANK,508.55
Jack,Hannah,444444,28-11-2025,17:51:04,INFY,1443
Manoj,Kiran,705048,23-09-2025,13:47:03,AMZN,1519.5
Sneha,Hannah,240187.74,27-09-2025,05:09:47,TSLA,486.21
Sneha,Neha,3079.2,11-09-2025,19:17:28,SBIN,1539.6
Charlie,Ivy,43338.64,15-11-2025,06:32:40,TSLA,1057.04
Charlie,Grace,28963.88,23-06-2025,05:30:21,ADANIENT,658.27
Eve,Kiran,321205.37,21-11-2025,11:23:23,TCS,2310.83
Frank,Eve,157912.74,26-07-2025,06:16:21,META,2924.31
Manoj,Farhan,346143.24,12-11-2025,00:42:52,HDFC,1460.52
Farhan,David,1284020.37,24-08-2025,07:05:55,MSFT,2797.43
Arjun,Ivy,13117.5,17-09-2025,02:11:16,MSFT,524.7
Harish,Chetan,158962.92,05-07-2025,03:26:44,GOOGL,1827.16
Hannah,Bhavna,74933.52,21-08-2025,07:34:03,NVDA,435.66
Gauri,Bhavna,434262.66,29-12-2025,12:07:53,MSFT,1186.51
Lakshmi,Neha,913979.36,05-09-2025,17:01:10,RELIANCE,2331.58
David,Varun,373226.77,09-06-2025,01:40:11,HDFC,1441.03
Jaya,Harish,280892.16,27-07-2025,01:04:45,MSFT,1897.92
Charlie,Hannah,48395.1,12-07-2025,10:04:21,SBIN,124.09
Jaya,David,32306.03,20-06-2025,09:04:51,MSFT,1404.61
Kiran,Alice,140267.15,15-09-2025,15:19:44,INFY,2646.55
David,Frank,86382.94,01-10-2025,01:18:51,AMZN,536.54
Jaya,Charlie,99815.1,18-10-2025,00:45:33,GOOGL,491.7
Ivy,Bhavna,926568.22,19-11-2025,11:04:42,TSLA,2211.38
Manoj,Charlie,990114.84,17-07-2025,19:47:27,NVDA,2500.29
Rohit,Jaya,1004727.6,16-10-2025,09:16:28,SBIN,2203.35
Farhan,Harish,353425.95,07-08-2025,21:36:01,HDFC,2617.97
Bhavna,Rohit,634410.32,09-07-2025,21:54:10,INFY,1660.76
Varun,Jaya,62451.67,17-12-2025,04:18:46,META,2014.57
Manoj,Bhavna,563279.19,15-09-2025,14:40:01,HDFC,1822.91
Charlie,Varun,431641.44,20-06-2025,07:18:29,TSLA,1315.98
Jaya,Farhan,80564.4,08-12-2025,22:13:50,INFY,2014.11
Hannah,Ivy,131801.04,24-07-2025,14:36:45,ICICIBANK,523.02
Harish,Grace,1322042,28-12-2025,16:55:51,HDFC,2837
Bhavna,Alice,635062.05,02-07-2025,06:32:40,MSFT,1830.15
Manoj,Sneha,461770,17-11-2025,11:25:31,AMZN,1847.08
Gauri,Sneha,65698.31,24-10-2025,15:31:54,SBIN,1775.63
Neha,Alice,270821.62,30-11-2025,19:40:44,TSLA,1029.74
Harish,Bob,293349.15,17-11-2025,14:24:53,NVDA,2848.05
Jack,Arjun,50886.81,14-09-2025,02:24:05,RELIANCE,1641.51
Eve,Grace,40368.2,20-08-2025,22:08:42,AMZN,593.65
Arjun,Kiran,430019.4,03-08-2025,19:42:47,RELIANCE,1604.55
Jaya,Chetan,65906.68,21-11-2025,02:26:41,ICICIBANK,229.64
Jack,Sneha,1138398.56,31-12-2025,06:10:31,TCS,2972.32
Gauri,Rohit,51044.13,11-08-2025,00:01:37,SBIN,246.59
Chetan,Lakshmi,813978.84,03-10-2025,15:17:50,MSFT,2352.54
Harish,Farhan,444884.4,06-06-2025,01:27:36,AMZN,1611.9
David,Kiran,794490.4,30-12-2025,09:47:22,TSLA,1805.66
Harish,Kiran,810767.92,22-09-2025,09:57:35,SBIN,2926.96
Manoj,Alice,394444.7,21-10-2025,05:08:06,GOOGL,1636.7
Lakshmi,Alice,1074254.79,26-12-2025,23:08:21,TSLA,2224.13
Harish,Grace,218259.81,14-10-2025,19:26:14,RELIANCE,591.49
Harish,Arjun,1547.1,03-07-2025,19:50:42,HDFC,515.7
Jaya,Harish,768321.04,08-12-2025,17:25:29,RELIANCE,1666.64
Hannah,Chetan,1126168.52,01-10-2025,20:04:29,ICICIBANK,2612.92
Manoj,Varun,659505.84,15-09-2025,01:54:41,TCS,1443.12
Gauri,Frank,1187615.52,19-10-2025,08:25:15,NVDA,2749.11
Varun,Eve,861537.04,26-07-2025,02:08:22,AAPL,2366.86
Lakshmi,Varun,117914.16,21-09-2025,22:25:37,NFLX,431.92
Charlie,Arjun,1009257.96,04-12-2025,15:10:57,META,2203.62
Jack,Charlie,799366.85,18-11-2025,03:35:51,INFY,1796.33
Manoj,Varun,76259.68,22-10-2025,15:25:08,MSFT,268.52
Harish,Ivy,109762.24,23-07-2025,02:45:01,MSFT,1960.04
Bob,Alice,609828.77,30-10-2025,06:22:45,META,1520.77
Alice,Rohit,885317.51,13-10-2025,07:16:49,GOOGL,2775.29
Chetan,Eve,1086212.16,26-07-2025,14:07:16,TSLA,2244.24
Arjun,Kiran,418841.28,15-09-2025,10:43:25,NVDA,1057.68
Hannah,Divya,1769.5,04-07-2025,07:29:14,TSLA,884.75
Chetan,Divya,105143.77,09-06-2025,01:55:01,RELIANCE,1569.31
Eve,Neha,406819.68,05-12-2025,08:09:42,META,1022.16
Manoj,Arjun,908410.8,25-11-2025,18:52:10,NVDA,2064.57
Bhavna,Jack,317010.89,08-08-2025,20:58:53,TCS,924.23
Grace,Lakshmi,143321.05,12-07-2025,05:32:09,NVDA,1246.27
Bob,Arjun,28869.72,09-11-2025,15:24:53,GOOGL,2624.52
Gauri,Sneha,36762.92,26-10-2025,13:24:20,ICICIBANK,693.64
